,Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date-Time,Published Date as Integer
0,00E263FF6806064C016A643C6587B0D607A6A42D_1518787547000,02/16/2018 07:25:00 PM +0000,Traffic Hazard,"(30.320777,-97.726217)",30.320777,-97.726217,503 Franklin Blvd,ARCHIVED,02/17/2018 01:45:00 AM +0000,20180216
1,0020BF2046BD4C6F803CBF19940A1A4759C0EDE8_1518596434000,02/14/2018 02:20:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.448869,-97.656096)",30.448869,-97.656096,W Pecan St & Central Commerce Dr,ARCHIVED,02/14/2018 08:30:00 PM +0000,20180214
2,066B5BB7A384BED2EDCDC65D0BCAA57C1EE971D0_1508318881000,10/18/2017 02:28:00 PM +0000,Stalled Vehicle,"(30.261230,-97.736767)",30.26123,-97.736767,N Ih 35 Svrd Sb & E Cesar Chavez St,ARCHIVED,,20171018
3,0A362CA04E5D1A1A33B972938C55AC2595D989F9_1508316087000,10/18/2017 01:41:00 PM +0000,Traffic Impediment,"(30.185598,-97.812579)",30.185598,-97.812579,1700-1930 W Dittmar Rd,ARCHIVED,,20171018
4,0CE1D1D8CFA8BDADD7BC865D3E87BBF2FBBC003E_1508320416000,10/18/2017 02:53:00 PM +0000,COLLISION,"(30.285479,-97.812326)",30.285479,-97.812326,4310 Bee Caves Rd,ARCHIVED,,20171018
5,0DE1F0466A1DDBB39B3249511CD3FE60BE0D4D6C_1508305877000,10/18/2017 10:51:00 AM +0000,Traffic Hazard,"(30.401971,-97.728792)",30.401971,-97.728792,0 N Mopac Nb At Mopac Railro Trn,ARCHIVED,,20171018
6,12F5AA9F4574E1267551B2B784C315C53E19903D_1508328964000,10/18/2017 05:16:00 PM +0000,Crash Service,"(30.265218,-97.736408)",30.265218,-97.736408,700-717 E 5th St,ARCHIVED,,20171018
7,1533AD56150B32637090BE48AF8EEF374BDE71E4_1508316682000,10/18/2017 01:51:00 PM +0000,Crash Urgent,"(30.352207,-97.723261)",30.352207,-97.723261,7806-7899 Woodrow Ave,ARCHIVED,,20171018
8,178F71645D8D762522EDE90115F4F50F1E19D62B_1508328092000,10/18/2017 05:01:00 PM +0000,Traffic Hazard,"(30.361598,-97.743869)",30.361598,-97.743869,7900-7999 N MOPAC EXPY SVRD NB,ARCHIVED,,20171018
9,185B44A1DEEF7AC2851ECBD3FA9B3CDD1A40C152_1508320100000,10/18/2017 02:48:00 PM +0000,Crash Service,"(30.348984,-97.676554)",30.348984,-97.676554,9210 Cameron Rd,ARCHIVED,,20171018
10,18C775519E031F57D09D66471927ECBBA6D45826_1508327283000,10/18/2017 04:48:00 PM +0000,Crash Service,"(30.433105,-97.768612)",30.433105,-97.768612,Jollyville Rd & Barrington Way,ARCHIVED,,20171018
11,18DD8025688A8458D55DABF67D5CE9D57E155B82_1508312800000,10/18/2017 12:46:00 PM +0000,Crash Service,"(30.367675,-97.613282)",30.367675,-97.613282,12239-12251 Harris Branch Pkwy,ARCHIVED,,20171018
12,19F0A07EC3DB522A4D5090526557C039F4F55852_1508320052000,10/18/2017 02:47:00 PM +0000,Crash Urgent,"(30.366144,-97.768990)",30.366144,-97.76899,4306 Deepwoods Dr,ARCHIVED,,20171018
13,1C650AB87DA40A1E1A463B66C81988D290D69018_1508326846000,10/18/2017 04:40:00 PM +0000,Crash Service,"(30.356893,-97.732475)",30.356893,-97.732475,2525 W Anderson Ln,ARCHIVED,,20171018
14,207F867C47D2D963353D30EC4A836D6290D90FFA_1508295448000,10/18/2017 07:57:00 AM +0000,Traffic Hazard,"(30.391170,-97.746028)",30.39117,-97.746028,9900 Research Blvd Sb,ARCHIVED,,20171018
15,20B4D8CAE1EAD69A3B2FCD9231FA7FB9A4F85DF1_1508325977000,10/18/2017 04:26:00 PM +0000,Traffic Hazard,"(30.233998,-97.811051)",30.233998,-97.811051,W Us 290 Hwy Svrd Wb & Stearns Ln,ARCHIVED,,20171018
16,0DE1F0466A1DDBB39B3249511CD3FE60BE0D4D6C_1508329746000,10/18/2017 05:29:00 PM +0000,LOOSE LIVESTOCK,"(30.277203,-97.488897)",30.277203,-97.488897,20711 POSTOAK PKWY,ARCHIVED,,20171018
17,115131211F2F47272A27CF064775D461D3EF66E6_1508333534000,10/18/2017 06:32:00 PM +0000,Crash Service,"(30.318916,-97.707671)",30.318916,-97.707671,5812 N Ih 35 Svrd Sb,ARCHIVED,,20171018
18,218CEC711F1757FE04A78ACFC8CCE94630BAA52E_1508329009000,10/18/2017 05:16:00 PM +0000,Traffic Hazard,"(30.335718,-97.756033)",30.335718,-97.756033,0 Northland To Mopac Sb Ramp,ARCHIVED,,20171018
19,23C48E1AA4867FD335AC3497FA1061DE28CC7819_1508312401000,10/18/2017 12:40:00 PM +0000,Crash Service,"(30.173174,-97.670556)",30.173174,-97.670556,Burleson Rd & Emma Browning Ave,ARCHIVED,,20171018
20,28242F1D302696F577218BB85FBAAFECA44761A7_1508296273000,10/18/2017 08:11:00 AM +0000,Traffic Impediment,"(30.286035,-97.708016)",30.286035,-97.708016,Banton Rd & Manor Rd,ARCHIVED,,20171018
21,2C7EF0922DDD74809CA7CF4FE2F7A8A5E86F6BFA_1508310938000,10/18/2017 12:15:00 PM +0000,Traffic Hazard,"(30.315994,-97.707815)",30.315994,-97.707815,E 290 Wb To Ih 35 Sb Ramp & N Ih 35 Sb,ARCHIVED,,20171018
22,2F25DF3260BA7F6F5DC9556417C6FCE5FCA5C90B_1508320814000,10/18/2017 03:00:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.457232,-97.666753)",30.457232,-97.666753,16000-blk N Ih 35 Sb,ARCHIVED,,20171018
23,311FD155BAFBC7FD0A5DB010F80D9090F1E689DE_1508330643000,10/18/2017 05:44:00 PM +0000,Traffic Hazard,"(30.287305,-97.762739)",30.287305,-97.762739,1200-1651 N MOPAC EXPY NB,ARCHIVED,,20171018
24,3259CB20A537C3539F365141FA16B8651163F575_1508313132000,10/18/2017 12:52:00 PM +0000,Stalled Vehicle,"(30.240063,-97.737311)",30.240063,-97.737311,1800 S Ih 35 Nb,ARCHIVED,,20171018
25,349C0309807F676DFB15970416DECBA5128E7FED_1508315166000,10/18/2017 01:26:00 PM +0000,COLLISION WITH INJURY,"(30.386399,-97.579158)",30.386399,-97.579158,13600-14124 N Sh 130 Sb,ARCHIVED,,20171018
26,36E7ECFE17F4820835ACFADF14E0A7689A9974B1_1508313081000,10/18/2017 12:51:00 PM +0000,Crash Urgent,"(30.362706,-97.704478)",30.362706,-97.704478,9010 Collinfield Dr,ARCHIVED,,20171018
27,3B987A82043F7DF95B5784095B5CE3BB870DC709_1508326504000,10/18/2017 04:35:00 PM +0000,Crash Urgent,"(30.334124,-97.703111)",30.334124,-97.703111,7300 N Ih 35 Nb,ARCHIVED,,20171018
28,4375A23DFC4B20CB97C25EBE3B52488C61293AC2_1508329936000,10/18/2017 05:32:00 PM +0000,COLLISION,"(30.430895,-97.684754)",30.430895,-97.684754,W HOWARD LN & AVENUE N,ARCHIVED,,20171018
29,49DD744FF126341803FBB56A028DC0177C24F979_1508318106000,10/18/2017 02:15:00 PM +0000,Traffic Hazard,"(30.189086,-97.767282)",30.189086,-97.767282,1700-1944 E William Cannon Dr,ARCHIVED,,20171018
30,5071465A43CAC422CBF59350A6D40CC0635E266C_1508326052000,10/18/2017 04:27:00 PM +0000,Traffic Hazard,"(30.306805,-97.711942)",30.306805,-97.711942,4800 N Ih 35 Nb,ARCHIVED,,20171018
31,50D6C3C9E4B3DD713FB1ADF7871F510727A64004_1508318020000,10/18/2017 02:13:00 PM +0000,Traffic Hazard,"(30.185655,-97.812974)",30.185655,-97.812974,1700-1930 W Dittmar Rd,ARCHIVED,,20171018
32,53B43ADA41A9083EFA9B04AD10970C2B494633F1_1508313375000,10/18/2017 12:56:00 PM +0000,Traffic Impediment,"(30.171646,-97.722126)",30.171646,-97.722126,6501-6505 MC KINNEY FALLS PKWY,ARCHIVED,,20171018
33,560435953B9808841DF0571AC6680B33A1067449_1508315812000,10/18/2017 01:36:00 PM +0000,COLLISN/ LVNG SCN,"(30.307980,-97.638149)",30.30798,-97.638149,6814 POINT NORTH DR,ARCHIVED,,20171018
34,5DB0872F19AA1AE3D1CEFA62AE9877879C085253_1508306984000,10/18/2017 11:09:00 AM +0000,COLLISION WITH INJURY,"(30.316418,-97.949688)",30.316418,-97.949688,S Fm 620 Rd & Bee Cave Pkwy,ARCHIVED,,20171018
35,5DBADC80815BB1554E48667C816D8628F6B80541_1508328991000,10/18/2017 05:16:00 PM +0000,Traffic Hazard,"(30.338110,-97.700357)",30.33811,-97.700357,0 N Ih 35 Nb To Anderson Wb Ramp,ARCHIVED,,20171018
36,00817818EDF48CDBA2229E617EBA386481A8A7C3_1516583796000,01/22/2018 07:16:00 AM +0000,Traffic Impediment,"(30.238438,-97.733544)",30.238438,-97.733544,Woodland Ave & Sylvan Dr,ARCHIVED,01/22/2018 01:30:00 PM +0000,20180122
37,00817818EDF48CDBA2229E617EBA386481A8A7C3_1517382900000,01/31/2018 01:15:00 PM +0000,TRFC HAZD/ DEBRIS,"(30.348861,-97.555963)",30.348861,-97.555963,E US 290 HWY WB & LEXINGTON ST,ARCHIVED,01/31/2018 07:30:00 PM +0000,20180131
38,00817818EDF48CDBA2229E617EBA386481A8A7C3_1518591778000,02/14/2018 01:02:00 PM +0000,COLLISION WITH INJURY,"(30.451779,-97.662333)",30.451779,-97.662333,Three Points Rd & Vision Dr,ARCHIVED,02/14/2018 07:45:00 PM +0000,20180214
